Date,Portfolio_Value
2020-03-23,1000000.0
2020-03-24,1007815.1499999999
2020-03-25,1009427.7999999999
2020-03-26,1016002.45
2020-03-27,1005871.7
2020-03-30,1006450.6
2020-03-31,1013810.8999999999
2020-04-01,1010792.35
2020-04-03,1006740.0499999999
2020-04-07,1018711.75
2020-04-08,1022577.3999999999
2020-04-09,1028192.35
2020-04-13,1027866.7
2020-04-15,1044090.7499999998
2020-04-16,1046546.9499999997
2020-04-17,1049730.4499999997
2020-04-20,1062493.1999999997
2020-04-21,1035739.1999999998
2020-04-22,1039895.3999999998
2020-04-23,1043427.9499999997
2020-04-24,1038454.8999999997
2020-04-27,1050331.0999999999
2020-04-28,1057525.5499999998
2020-04-29,1069338.6499999997
2020-04-30,1077120.7499999998
2020-05-04,1049436.9499999997
2020-05-05,1048838.6499999997
2020-05-06,1046486.5499999999
2020-05-07,1046330.65
2020-05-08,1047989.8999999998
2020-05-11,1057041.7999999998
2020-05-12,1047504.1499999998
2020-05-13,1055609.5499999998
2020-05-14,1053040.9
2020-05-15,1057422.4499999997
2020-05-18,1030233.2499999998
2020-05-19,1029933.3499999999
2020-05-20,1036032.6999999997
2020-05-21,1037617.8999999997
2020-05-22,1037002.5499999999
2020-05-26,1042947.0999999996
2020-05-27,1041878.0499999998
2020-05-28,1052536.4999999998
2020-05-29,1059236.8499999996
2020-06-01,1070952.0999999999
2020-06-02,1077004.0499999998
2020-06-03,1079807.8499999999
2020-06-04,1072636.7499999998
2020-06-05,1091595.8499999999
2020-06-08,1091953.65
2020-06-09,1083088.7499999998
2020-06-10,1084837.15
2020-06-11,1070034.65
2020-06-12,1072630.65
2020-06-15,1062206.3
2020-06-16,1062481.45
2020-06-17,1060562.5999999996
2020-06-18,1069619.7999999998
2020-06-19,1086696.6
2020-06-22,1099908.0499999998
2020-06-23,1105098.75
2020-06-24,1088159.2999999998
2020-06-25,1099912.0999999999
2020-06-26,1103704.1500000001
2020-06-29,1097447.9999999998
2020-06-30,1091581.0999999999
2020-07-01,1093549.9999999998
2020-07-02,1094831.9499999997
2020-07-03,1100213.5999999996
2020-07-06,1119788.3999999997
2020-07-07,1123150.15
2020-07-08,1115393.5999999999
2020-07-09,1121470.25
2020-07-10,1111054.9
2020-07-13,1108053.9499999997
2020-07-14,1090242.4499999997
2020-07-15,1091779.9499999997
2020-07-16,1093214.2999999998
2020-07-17,1103531.7
2020-07-20,1113174.95
2020-07-21,1122342.15
2020-07-22,1125926.9
2020-07-23,1138075.6
2020-07-24,1132263.8
2020-07-27,1134590.7499999998
2020-07-28,1144285.05
2020-07-29,1147162.3499999996
2020-07-30,1146531.2999999998
2020-07-31,1160298.9499999997
2020-08-03,1155276.65
2020-08-04,1182178.5499999998
2020-08-05,1188223.15
2020-08-06,1210819.3499999999
2020-08-07,1232069.5499999998
2020-08-10,1242391.7999999998
2020-08-11,1231943.3499999999
2020-08-12,1226686.0499999996
2020-08-13,1237970.2999999996
2020-08-14,1225303.5999999999
2020-08-17,1235022.35
2020-08-18,1256426.1999999997
2020-08-19,1284815.8499999996
2020-08-20,1305710.6499999997
2020-08-21,1317639.0000000002
2020-08-24,1345479.25
2020-08-25,1381601.0999999996
2020-08-26,1356736.35
2020-08-27,1368439.9499999997
2020-08-28,1361790.5
2020-08-31,1314503.35
2020-09-01,1314726.3999999997
2020-09-02,1335014.7
2020-09-03,1339088.15
2020-09-04,1324836.9499999997
2020-09-07,1323923.55
2020-09-08,1303549.7499999998
2020-09-09,1302169.5999999996
2020-09-10,1321449.8
2020-09-11,1319702.7499999998
2020-09-14,1353453.5999999999
2020-09-15,1363737.6999999995
2020-09-16,1381506.4
2020-09-17,1390160.4999999998
2020-09-18,1387441.0999999996
2020-09-21,1350330.25
2020-09-22,1360277.45
2020-09-23,1357832.4499999997
2020-09-24,1345040.4999999995
2020-09-25,1368560.45
2020-09-28,1400127.15
2020-09-29,1398884.8999999994
2020-09-30,1405049.9499999997
2020-10-01,1418509.4499999997
2020-10-05,1440474.6999999997
2020-10-06,1442986.2999999998
2020-10-07,1449360.3499999999
2020-10-08,1450226.2499999998
2020-10-09,1438547.5
2020-10-12,1419738.2000000002
2020-10-13,1413662.3
2020-10-14,1407062.1499999997
2020-10-15,1388095.4999999998
2020-10-16,1394604.6499999997
2020-10-19,1404414.3499999999
2020-10-20,1407345.8
2020-10-21,1408689.1999999997
2020-10-22,1404624.5499999998
2020-10-23,1419089.1
2020-10-26,1402541.5499999996
2020-10-27,1417401.15
2020-10-28,1402802.2999999996
2020-10-29,1422643.5999999994
2020-10-30,1422435.0499999998
2020-11-02,1416660.05
2020-11-03,1428705.8999999997
2020-11-04,1441168.0499999998
2020-11-05,1452495.4499999997
2020-11-06,1462339.2499999998
2020-11-09,1467434.6499999997
2020-11-10,1463676.4999999998
2020-11-11,1471954.5499999996
2020-11-12,1488156.6499999997
2020-11-13,1514235.6499999997
2020-11-17,1568807.9999999998
2020-11-18,1574980.7499999998
2020-11-19,1566008.9999999998
2020-11-20,1575400.0
2020-11-23,1592471.1
2020-11-24,1597815.7
2020-11-25,1581174.0999999999
2020-11-26,1591107.4999999998
2020-11-27,1611563.6499999997
2020-12-01,1644428.6999999995
2020-12-02,1680998.2999999996
2020-12-03,1678447.45
2020-12-04,1687664.6
2020-12-07,1719806.9999999998
2020-12-08,1713830.3999999997
2020-12-09,1701074.4
2020-12-10,1688714.15
2020-12-11,1698584.6000000003
2020-12-14,1706785.0
2020-12-15,1703575.7499999995
2020-12-16,1712417.3999999997
2020-12-17,1708835.3
2020-12-18,1697727.6000000003
2020-12-21,1630015.1499999994
2020-12-22,1660177.8499999996
2020-12-23,1686650.9000000001
2020-12-24,1698793.4999999995
2020-12-28,1729000.2999999998
2020-12-29,1736877.35
2020-12-30,1726152.2999999998
2020-12-31,1724753.1
2021-01-01,1747113.3499999999
2021-01-04,1763740.8499999994
2021-01-05,1773740.85
2021-01-06,1760408.9000000001
2021-01-07,1799719.8000000003
2021-01-08,1807953.0499999998
2021-01-11,1804070.8
2021-01-12,1812711.35
2021-01-13,1815383.5999999992
2021-01-14,1810314.9999999998
2021-01-15,1794738.8499999996
2021-01-18,1761437.8
2021-01-19,1810747.2000000002
2021-01-20,1840890.2999999998
2021-01-21,1846576.7
2021-01-22,1856807.8
2021-01-25,1848062.4499999995
2021-01-27,1830136.3999999997
2021-01-28,1831422.8
2021-01-29,1806272.55
2021-02-01,1875955.0499999998
2021-02-02,1919238.65
2021-02-03,1953558.3999999997
2021-02-04,2034050.9499999997
2021-02-05,2019579.9999999998
2021-02-08,2080618.1
2021-02-09,2064755.3499999996
2021-02-10,2079661.75
2021-02-11,2096712.55
2021-02-12,2163554.1999999997
2021-02-15,2211283.55
2021-02-16,2231219.9499999993
2021-02-17,2240798.45
2021-02-18,2244488.15
2021-02-19,2197068.4
2021-02-22,2194421.15
2021-02-23,2183092.2499999995
2021-02-24,2216941.7499999995
2021-02-25,2264682.1999999997
2021-02-26,2230009.8499999996
2021-03-01,2266274.3999999994
2021-03-02,2290663.9
2021-03-03,2352805.65
2021-03-04,2364513.449999999
2021-03-05,2315696.2999999993
2021-03-08,2306898.9
2021-03-09,2296563.1999999997
2021-03-10,2304264.0999999996
2021-03-12,2295139.5499999993
2021-03-15,2274023.55
2021-03-16,2292883.8
2021-03-17,2244789.8499999996
2021-03-18,2213924.0999999996
2021-03-19,2264217.4499999997
2021-03-22,2343999.2999999993
2021-03-23,2408151.099999999
2021-03-24,2390930.75
2021-03-25,2362289.5500000003
2021-03-26,2399271.25
2021-03-30,2400093.75
2021-03-31,2393287.05
2021-04-01,2428108.05
2021-04-05,2394235.55
2021-04-06,2407922.55
2021-04-07,2419916.3499999996
2021-04-08,2457339.3499999996
2021-04-09,2456926.4999999995
2021-04-12,2369215.5000000005
2021-04-13,2387549.2499999995
2021-04-15,2384938.2
2021-04-16,2410466.4999999995
2021-04-19,2391528.099999999
2021-04-20,2404868.55
2021-04-22,2415678.2999999993
2021-04-23,2422644.3
2021-04-26,2435047.8
2021-04-27,2467466.4
2021-04-28,2474509.8999999994
2021-04-29,2478522.45
2021-04-30,2466554.3999999994
2021-05-03,2498033.9499999993
2021-05-04,2493644.1499999994
2021-05-05,2519922.4
2021-05-06,2551906.5999999996
2021-05-07,2567976.0499999993
2021-05-10,2578837.9499999993
2021-05-11,2618555.1499999994
2021-05-12,2617417.849999999
2021-05-14,2583734.9
2021-05-17,2606596.599999999
2021-05-18,2625859.749999999
2021-05-19,2613924.0999999996
2021-05-20,2613697.6999999997
2021-05-21,2615437.0999999996
2021-05-24,2651019.1499999994
2021-05-25,2641755.7499999995
2021-05-26,2645936.849999999
2021-05-27,2677190.9499999993
2021-05-28,2672531.5499999993
2021-05-31,2690393.5
2021-06-01,2692533.549999999
2021-06-02,2730342.9499999993
2021-06-03,2739453.7499999995
2021-06-04,2743244.3499999996
2021-06-07,2759641.299999999
2021-06-08,2766552.9999999995
2021-06-09,2750963.4499999993
2021-06-10,2774862.65
2021-06-11,2774599.599999999
2021-06-14,2753377.3499999996
2021-06-15,2765659.3999999994
2021-06-16,2741612.6999999997
2021-06-17,2708503.599999999
2021-06-18,2710276.1999999997
2021-06-21,2749914.0499999993
2021-06-22,2755909.6999999997
2021-06-23,2736994.4499999993
2021-06-24,2757490.049999999
2021-06-25,2787248.599999999
2021-06-28,2787303.399999999
2021-06-29,2789387.25
2021-06-30,2810370.849999999
2021-07-01,2814331.0999999996
2021-07-02,2809007.5999999996
2021-07-05,2817420.8999999994
2021-07-06,2814883.4499999997
2021-07-07,2822396.35
2021-07-08,2819493.0499999993
2021-07-09,2821009.599999999
2021-07-12,2830436.5500000003
2021-07-13,2843589.7999999993
2021-07-14,2829678.1499999994
2021-07-15,2827667.5499999993
2021-07-16,2814628.7499999995
2021-07-19,2824803.2999999993
2021-07-20,2818116.3
2021-07-22,2840446.7499999995
2021-07-23,2880070.9000000004
2021-07-26,2901421.1999999997
2021-07-27,2891599.499999999
2021-07-28,2916185.6999999997
2021-07-29,2900951.449999999
2021-07-30,2911925.5499999993
2021-08-02,2928953.5999999996
2021-08-03,2930328.6000000006
2021-08-04,2894681.1499999994
2021-08-05,2871289.0499999993
2021-08-06,2889915.0499999993
2021-08-09,2866858.8
2021-08-10,2831188.049999999
2021-08-11,2815948.6999999997
2021-08-12,2863794.75
2021-08-13,2878305.249999999
2021-08-16,2885239.55
2021-08-17,2912785.8999999994
2021-08-18,2896602.3999999994
2021-08-20,2856823.9499999993
2021-08-23,2814692.1999999997
2021-08-24,2859389.749999999
2021-08-25,2859636.2999999993
2021-08-26,2854095.55
2021-08-27,2879261.8499999996
2021-08-30,2901595.1999999993
2021-08-31,2922564.949999999
2021-09-01,2930547.4499999997
2021-09-02,2939390.75
2021-09-03,2936504.4499999993
2021-09-06,2943504.3999999994
2021-09-07,2927428.649999999
2021-09-08,2929739.0999999996
2021-09-09,2924769.399999999
2021-09-13,2944332.1
2021-09-14,2958530.2999999993
2021-09-15,2959621.0499999993
2021-09-16,2956442.3499999996
2021-09-17,2932594.1999999997
2021-09-20,2900045.199999999
2021-09-21,2907173.6999999997
2021-09-22,2928862.25
2021-09-23,2958072.7
2021-09-24,2934423.9499999997
2021-09-27,2946099.349999999
2021-09-28,2915161.649999999
2021-09-29,2915767.5499999993
2021-09-30,2921308.1999999993
2021-10-01,2921522.9999999995
2021-10-04,2968114.8999999994
2021-10-05,2979931.0999999996
2021-10-06,2949373.699999999
2021-10-07,2975499.449999999
2021-10-08,2973296.7999999993
2021-10-11,2979671.399999999
2021-10-12,2967702.0999999996
2021-10-13,2968477.0499999993
2021-10-14,2986215.349999999
2021-10-18,2995472.3999999994
2021-10-19,2941897.599999999
2021-10-20,2899751.649999999
2021-10-21,2898907.9499999993
2021-10-22,2913470.55
2021-10-25,2896334.15
2021-10-26,2916560.8
2021-10-27,2924531.2499999995
2021-10-28,2884499.4499999993
2021-10-29,2877905.6499999994
2021-11-01,2897523.5999999996
2021-11-02,2911568.65
2021-11-03,2916655.099999999
2021-11-04,2935255.749999999
2021-11-08,2966675.5999999996
2021-11-09,2988536.8
2021-11-10,2981397.2999999993
2021-11-11,2974348.3499999996
2021-11-12,2998986.8499999996
2021-11-15,3004059.9999999995
2021-11-16,2985668.7499999995
2021-11-17,3002520.25
2021-11-18,2963866.15
2021-11-22,2897176.8499999996
2021-11-23,2943168.1999999997
2021-11-24,2945134.15
2021-11-25,2999423.799999999
2021-11-26,2932297.0999999996
2021-11-29,2915071.4
2021-11-30,2911208.8
2021-12-01,2914790.9499999993
2021-12-02,2964680.1
2021-12-03,2953591.4999999995
2021-12-06,2911066.149999999
2021-12-07,2935088.0999999996
2021-12-08,2957466.9999999995
2021-12-09,2975358.399999999
2021-12-10,2978661.15
2021-12-13,2979706.6999999997
2021-12-14,2972318.8999999994
2021-12-15,2959651.0
2021-12-16,2949300.749999999
2021-12-17,2896828.7999999993
2021-12-20,2839401.8499999996
2021-12-21,2864010.75
2021-12-22,2907924.05
2021-12-23,2915583.5499999993
2021-12-24,2917633.2999999993
2021-12-27,2929411.099999999
2021-12-28,2961961.4
2021-12-29,2959516.85
2021-12-30,2953768.1999999997
2021-12-31,2978747.9999999995
2022-01-03,2995525.45
2022-01-04,2983553.5999999996
2022-01-05,2983171.7999999993
2022-01-06,2977198.4999999995
2022-01-07,3000669.4499999993
2022-01-10,3041050.8499999996
2022-01-11,3071856.9
2022-01-12,3067885.3000000003
2022-01-13,3070179.4499999997
2022-01-14,3082217.2999999993
2022-01-17,3137283.25
2022-01-18,3098646.3499999996
2022-01-19,3122867.6999999997
2022-01-20,3153167.8999999994
2022-01-21,3104772.1999999993
2022-01-24,3038116.9999999995
2022-01-25,3032758.799999999
2022-01-27,2990632.8499999996
2022-01-28,2999073.6999999993
2022-01-31,3022589.1999999997
2022-02-01,3054787.9499999993
2022-02-02,3112039.1999999997
2022-02-03,3074026.8000000003
2022-02-04,3083036.4499999997
2022-02-07,3049366.3
2022-02-08,3017839.5499999993
2022-02-09,3056079.4
2022-02-10,3065839.6499999994
2022-02-11,3020127.6999999997
2022-02-14,2933122.3999999994
2022-02-15,2986235.5499999993
2022-02-16,2977368.9499999993
2022-02-17,2972930.8999999994
2022-02-18,2941230.1999999997
2022-02-21,2908877.1999999997
2022-02-22,2871653.5999999996
2022-02-23,2885890.75
2022-02-24,2749211.4999999986
2022-02-25,2836406.75
2022-02-28,2847999.6500000004
2022-03-02,2865854.4000000004
2022-03-03,2856596.499999999
2022-03-04,2815368.999999999
2022-03-07,2770328.6999999997
2022-03-08,2789427.6
2022-03-09,2827542.9
2022-03-10,2884329.1999999993
2022-03-11,2875504.1500000004
2022-03-14,2875765.6999999997
2022-03-15,2861915.9999999995
2022-03-16,2947053.299999999
2022-03-17,2948517.05
2022-03-21,2946002.9499999997
2022-03-22,2941110.3999999994
2022-03-23,2929958.75
2022-03-24,2938059.599999999
2022-03-25,2933529.2999999993
2022-03-28,2924006.9999999995
2022-03-29,2929359.5999999996
2022-03-30,2943683.05
2022-03-31,2938319.25
2022-04-01,2955927.15
2022-04-04,3004109.9999999995
2022-04-05,3020361.4500000007
2022-04-06,3020481.7500000005
2022-04-07,3048321.7999999993
2022-04-08,3065239.9
2022-04-11,3074654.7999999993
2022-04-12,3043886.0000000005
2022-04-13,3060968.5999999996
2022-04-18,3060219.15
2022-04-19,3057495.399999999
2022-04-20,3062767.899999999
2022-04-21,3075758.349999999
2022-04-22,3070753.7999999993
2022-04-25,3045335.8999999994
2022-04-26,3041860.6999999993
2022-04-27,3027803.149999999
2022-04-28,3038763.9999999986
2022-04-29,3023766.8000000003
2022-05-02,3018381.899999999
2022-05-04,2969638.4499999993
2022-05-05,2981268.5999999996
2022-05-06,2955934.0499999993
2022-05-09,2951228.1499999994
2022-05-10,2922147.35
2022-05-11,2906890.4
2022-05-12,2877144.2499999995
2022-05-13,2885341.95
2022-05-16,2871199.65
2022-05-17,2917899.399999999
2022-05-18,2902623.1999999993
2022-05-19,2875413.2499999995
2022-05-20,2904853.9499999993
2022-05-23,2899121.5999999996
2022-05-24,2884632.099999999
2022-05-25,2853288.5999999996
2022-05-26,2876958.299999999
2022-05-27,2900499.1999999993
2022-05-30,2935316.4499999993
2022-05-31,2956791.599999999
2022-06-01,2964109.9499999993
2022-06-02,2979212.15
2022-06-03,2955989.749999999
2022-06-06,2952412.349999999
2022-06-07,2934544.6999999993
2022-06-08,2923624.1999999997
2022-06-09,2935102.2999999993
2022-06-10,2929372.7499999995
2022-06-13,2882988.2999999993
2022-06-14,2892782.15
2022-06-15,2914213.4999999995
2022-06-16,2865545.0999999996
2022-06-17,2851848.4999999995
2022-06-20,2831328.699999999
2022-06-21,2877128.2999999993
2022-06-22,2845970.9499999997
2022-06-23,2867045.8999999985
2022-06-24,2895382.7999999993
2022-06-27,2925300.799999999
2022-06-28,2917381.449999999
2022-06-29,2910299.849999999
2022-06-30,2901527.9
2022-07-01,2915847.4
2022-07-04,2925537.299999999
2022-07-05,2907480.599999999
2022-07-06,2940752.6499999994
2022-07-07,2957980.099999999
2022-07-08,2966912.399999999
2022-07-11,2990865.849999999
2022-07-12,2979605.9499999993
2022-07-13,2966862.749999999
2022-07-14,2970213.599999998
2022-07-15,2979842.749999999
2022-07-18,3002442.149999999
2022-07-19,3027162.1999999993
2022-07-20,3034586.7999999993
2022-07-21,3100350.3999999994
2022-07-22,3110127.3
2022-07-25,3110240.9499999993
2022-07-26,3091913.55
2022-07-27,3104343.15
2022-07-28,3117060.499999999
2022-07-29,3162184.8999999985
2022-08-01,3198808.849999999
2022-08-02,3204811.6500000004
2022-08-03,3208367.9499999993
2022-08-04,3213927.149999999
2022-08-05,3201662.1499999994
2022-08-08,3219455.649999999
2022-08-10,3236696.1
2022-08-11,3245893.75
2022-08-12,3249265.849999999
2022-08-16,3276574.4499999993
2022-08-17,3279879.399999999
2022-08-18,3281843.15
2022-08-19,3272849.6499999994
2022-08-22,3226952.85
2022-08-23,3242199.2499999995
2022-08-24,3277596.749999999
2022-08-25,3277389.4999999986
2022-08-26,3284247.9499999993
2022-08-29,3296475.3999999985
2022-08-30,3350393.1999999997
2022-09-01,3366599.4
2022-09-02,3383839.8499999987
2022-09-05,3382272.1499999994
2022-09-06,3399560.2499999995
2022-09-07,3412202.6999999997
2022-09-08,3458090.149999999
2022-09-09,3455973.1999999993
2022-09-12,3479728.0499999984
2022-09-13,3485168.749999999
2022-09-14,3494899.2499999986
2022-09-15,3498973.099999999
2022-09-16,3434402.1999999993
2022-09-19,3469318.6499999994
2022-09-20,3498367.2999999993
2022-09-21,3455796.1999999993
2022-09-22,3495933.099999999
2022-09-23,3465984.6999999997
2022-09-26,3367202.2499999995
2022-09-27,3345503.849999999
2022-09-28,3325561.499999999
2022-09-29,3314284.4999999995
2022-09-30,3344269.25
2022-10-03,3282865.6499999994
2022-10-04,3329897.6999999997
