date,symbol,action,quantity,price,value,reason,prediction,days_held,return
2020-03-23,ADANIENT,BUY,827,120.90,99984.30,NEW_POSITION,0.22,,
2020-04-03,ABBOTINDIA,BUY,5,15810.50,79052.50,NEW_POSITION,0.26,,
2020-04-13,ACC,BUY,36,1067.25,38421.00,NEW_POSITION,0.20,,
2020-04-13,APOLLOHOSP,BUY,37,1279.40,47337.80,NEW_POSITION,0.28,,
2020-04-13,AEGISLOG,BUY,349,154.35,53868.15,NEW_POSITION,0.31,,
2020-04-13,ABB,BUY,48,907.20,43545.60,NEW_POSITION,0.22,,
2020-04-13,AJANTPHARM,BUY,72,913.55,65775.60,NEW_POSITION,0.43,,
2020-04-13,APOLLOTYRE,BUY,861,85.80,73873.80,NEW_POSITION,0.51,,
2020-04-13,AGI,BUY,1739,47.20,82080.80,NEW_POSITION,0.81,,
2020-04-13,AARTIIND,BUY,133,450.00,59850.00,NEW_POSITION,0.33,,
2020-04-21,ABREL,BUY,114,311.35,35493.90,NEW_POSITION,0.19,,
2020-06-01,AARTIDRUGS,BUY,134,238.90,32012.60,NEW_POSITION,0.27,,
2020-10-30,AIAENG,BUY,16,1699.20,27187.20,NEW_POSITION,0.19,,
2020-11-24,APARINDS,BUY,76,344.10,26151.60,NEW_POSITION,0.20,,
2020-12-07,ALLCARGO,BUY,724,32.50,23530.00,NEW_POSITION,0.47,,
2021-01-15,ACE,BUY,160,131.85,21096.00,NEW_POSITION,0.22,,
2021-02-03,AMBUJACEM,BUY,70,268.95,18826.50,NEW_POSITION,0.21,,
2021-03-22,ALKYLAMINE,BUY,8,2132.05,17056.40,NEW_POSITION,0.19,,
2021-03-23,ADANIENT,SELL,827,1058.40,875296.80,ONE_YEAR_HOLD,,365.00,7.75
2021-03-25,ADANIENT,BUY,104,981.55,102081.20,NEW_POSITION,0.16,,
2021-04-05,ABBOTINDIA,SELL,5,15160.15,75800.75,ONE_YEAR_HOLD,,367.00,-0.04
2021-04-05,ABBOTINDIA,BUY,6,15160.15,90960.90,NEW_POSITION,0.25,,
2021-04-13,APOLLOHOSP,BUY,41,2980.75,122210.75,NEW_POSITION,0.24,,
2021-04-13,AARTIIND,BUY,200,685.15,137030.00,NEW_POSITION,0.33,,
2021-04-13,AEGISLOG,BUY,532,286.35,152338.20,NEW_POSITION,0.33,,
2021-04-13,AJANTPHARM,BUY,147,1150.30,169094.10,NEW_POSITION,0.33,,
2021-04-13,AGI,BUY,1218,154.45,188120.10,NEW_POSITION,0.44,,
2021-04-13,ACC,SELL,36,1882.15,67757.40,ONE_YEAR_HOLD,,365.00,0.76
2021-04-13,APOLLOHOSP,SELL,37,2980.75,110287.75,ONE_YEAR_HOLD,,365.00,1.33
2021-04-13,ADANIPORTS,BUY,152,731.05,111119.60,NEW_POSITION,0.22,,
2021-04-13,AEGISLOG,SELL,349,286.35,99936.15,ONE_YEAR_HOLD,,365.00,0.86
2021-04-13,AARTIIND,SELL,133,685.15,91124.95,ONE_YEAR_HOLD,,365.00,0.52
2021-04-13,AJANTPHARM,SELL,72,1150.30,82821.60,ONE_YEAR_HOLD,,365.00,0.26
2021-04-13,APOLLOTYRE,SELL,861,215.45,185502.45,ONE_YEAR_HOLD,,365.00,1.51
2021-04-13,AGI,SELL,1739,154.45,268588.55,ONE_YEAR_HOLD,,365.00,2.27
2021-04-13,ABB,SELL,48,1319.60,63340.80,ONE_YEAR_HOLD,,365.00,0.45
2021-04-13,ABB,BUY,75,1319.60,98970.00,NEW_POSITION,0.19,,
2021-04-15,ACC,BUY,49,1836.65,89995.85,NEW_POSITION,0.19,,
2021-04-22,ABREL,SELL,114,448.00,51072.00,ONE_YEAR_HOLD,,366.00,0.44
2021-04-22,ABREL,BUY,192,448.00,86016.00,NEW_POSITION,0.22,,
2021-06-01,AARTIDRUGS,SELL,134,736.60,98704.40,ONE_YEAR_HOLD,,365.00,2.08
2021-11-01,AIAENG,SELL,16,1937.60,31001.60,ONE_YEAR_HOLD,,367.00,0.14
2021-11-24,APARINDS,SELL,76,674.65,51273.40,ONE_YEAR_HOLD,,365.00,0.96
2021-12-07,ALLCARGO,SELL,724,85.80,62119.20,ONE_YEAR_HOLD,,365.00,1.64
2021-12-21,AIAENG,BUY,57,1784.30,101705.10,NEW_POSITION,0.21,,
2021-12-24,APLLTD,BUY,119,768.20,91415.80,NEW_POSITION,0.24,,
2022-01-06,AARTIDRUGS,BUY,156,529.00,82524.00,NEW_POSITION,0.23,,
2022-01-10,APLAPOLLO,BUY,81,913.70,74009.70,NEW_POSITION,0.53,,
2022-01-17,ACE,SELL,160,240.65,38504.00,ONE_YEAR_HOLD,,367.00,0.83
2022-02-03,AMBUJACEM,BUY,193,381.90,73706.70,NEW_POSITION,0.25,,
2022-02-03,AMBUJACEM,SELL,70,381.90,26733.00,ONE_YEAR_HOLD,,365.00,0.42
2022-03-22,ALKYLAMINE,SELL,8,2898.75,23190.00,ONE_YEAR_HOLD,,365.00,0.36
2022-03-22,ALKYLAMINE,BUY,23,2898.75,66671.25,NEW_POSITION,0.28,,
2022-03-25,ADANIENT,SELL,104,1867.00,194168.00,ONE_YEAR_HOLD,,365.00,0.90
2022-04-05,ABBOTINDIA,SELL,6,17628.25,105769.50,ONE_YEAR_HOLD,,365.00,0.16
2022-04-05,ABBOTINDIA,BUY,5,17628.25,88141.25,NEW_POSITION,0.25,,
2022-04-13,ABB,BUY,64,2226.70,142508.80,NEW_POSITION,0.25,,
2022-04-13,AEGISLOG,BUY,676,236.10,159603.60,NEW_POSITION,0.31,,
2022-04-13,AJANTPHARM,BUY,154,1149.55,177030.70,NEW_POSITION,0.33,,
2022-04-13,AARTIIND,BUY,206,952.80,196276.80,NEW_POSITION,0.34,,
2022-04-13,AGI,BUY,695,314.90,218855.50,NEW_POSITION,0.37,,
2022-04-13,ABB,SELL,75,2226.70,167002.50,ONE_YEAR_HOLD,,365.00,0.69
2022-04-13,AGI,SELL,1218,314.90,383548.20,ONE_YEAR_HOLD,,365.00,1.04
2022-04-13,APOLLOHOSP,SELL,41,4744.45,194522.45,ONE_YEAR_HOLD,,365.00,0.59
2022-04-13,AARTIIND,SELL,200,952.80,190560.00,ONE_YEAR_HOLD,,365.00,0.39
2022-04-13,AEGISLOG,SELL,532,236.10,125605.20,ONE_YEAR_HOLD,,365.00,-0.18
2022-04-13,AJANTPHARM,SELL,147,1149.55,168983.85,ONE_YEAR_HOLD,,365.00,-0.00
2022-04-13,ADANIPORTS,SELL,152,840.50,127756.00,ONE_YEAR_HOLD,,365.00,0.15
2022-04-18,ACC,SELL,49,2155.20,105604.80,ONE_YEAR_HOLD,,368.00,0.17
2022-04-22,ABREL,SELL,192,878.95,168758.40,ONE_YEAR_HOLD,,365.00,0.96
2022-05-05,ABREL,BUY,196,798.25,156457.00,NEW_POSITION,0.25,,
2022-05-16,APOLLOHOSP,BUY,38,3686.75,140096.50,NEW_POSITION,0.25,,
2022-06-03,ADANIENT,BUY,58,2190.00,127020.00,NEW_POSITION,0.23,,
2022-06-14,APOLLOTYRE,BUY,612,187.10,114505.20,NEW_POSITION,0.19,,
2022-06-17,ADANIPORTS,BUY,154,668.95,103018.30,NEW_POSITION,0.24,,
2022-09-29,ADANIENSOL,BUY,27,3406.40,91972.80,NEW_POSITION,0.42,,
2022-11-15,ACE,BUY,251,332.70,83507.70,NEW_POSITION,0.22,,
2022-11-16,ALLCARGO,BUY,632,119.10,75271.20,NEW_POSITION,0.28,,
2022-11-24,ALKEM,BUY,21,3100.00,65100.00,NEW_POSITION,0.24,,
2022-12-12,ADVENZYMES,BUY,196,311.65,61083.40,NEW_POSITION,0.28,,
2022-12-21,AIAENG,SELL,57,2710.90,154521.30,ONE_YEAR_HOLD,,365.00,0.52
2022-12-22,ABFRL,BUY,241,292.40,70468.40,NEW_POSITION,0.23,,
2022-12-26,APLLTD,SELL,119,586.40,69781.60,ONE_YEAR_HOLD,,367.00,-0.24
2022-12-26,APLLTD,BUY,120,586.40,70368.00,NEW_POSITION,0.23,,
2023-01-06,AARTIDRUGS,SELL,156,446.05,69583.80,ONE_YEAR_HOLD,,365.00,-0.16
2023-01-10,APLAPOLLO,SELL,81,1105.05,89509.05,ONE_YEAR_HOLD,,365.00,0.21
2023-01-10,APLAPOLLO,BUY,71,1105.05,78458.55,NEW_POSITION,0.58,,
2023-02-03,AMBUJACEM,SELL,193,373.60,72104.80,ONE_YEAR_HOLD,,365.00,-0.02
2023-03-22,ALKYLAMINE,SELL,23,2312.65,53190.95,ONE_YEAR_HOLD,,365.00,-0.20
2023-03-24,AUBANK,BUY,150,559.90,83985.00,NEW_POSITION,0.26,,
2023-03-28,AMBER,BUY,42,1795.70,75419.40,NEW_POSITION,0.76,,
2023-04-05,ABBOTINDIA,SELL,5,22846.00,114230.00,ONE_YEAR_HOLD,,365.00,0.30
2023-04-05,ABBOTINDIA,BUY,3,22846.00,68538.00,NEW_POSITION,0.33,,
2023-04-10,AARTIDRUGS,BUY,177,408.75,72348.75,NEW_POSITION,0.28,,
2023-04-13,AEGISLOG,BUY,354,386.95,136980.30,NEW_POSITION,0.33,,
2023-04-13,AJANTPHARM,BUY,121,1254.90,151842.90,NEW_POSITION,0.33,,
2023-04-13,AARTIIND,BUY,308,547.25,168553.00,NEW_POSITION,0.35,,
2023-04-13,ABB,SELL,64,3230.00,206720.00,ONE_YEAR_HOLD,,365.00,0.45
2023-04-13,AARTIIND,SELL,206,547.25,112733.50,ONE_YEAR_HOLD,,365.00,-0.43
2023-04-13,AJANTPHARM,SELL,154,1254.90,193254.60,ONE_YEAR_HOLD,,365.00,0.09
2023-04-13,AGI,SELL,695,376.10,261389.50,ONE_YEAR_HOLD,,365.00,0.19
2023-04-13,AEGISLOG,SELL,676,386.95,261578.20,ONE_YEAR_HOLD,,365.00,0.64
2023-04-17,ALKYLAMINE,BUY,51,2392.55,122020.05,NEW_POSITION,0.28,,
2023-04-18,AGI,BUY,288,385.85,111124.80,NEW_POSITION,0.26,,
2023-04-28,ADANIGREEN,BUY,105,951.00,99855.00,NEW_POSITION,0.95,,
2023-05-05,ABREL,SELL,196,719.80,141080.80,ONE_YEAR_HOLD,,365.00,-0.10
2023-05-16,APOLLOHOSP,SELL,38,4555.10,173093.80,ONE_YEAR_HOLD,,365.00,0.24
2023-05-26,ATGL,BUY,159,760.70,120951.30,NEW_POSITION,0.41,,
2023-06-05,ADANIENT,SELL,58,2433.95,141169.10,ONE_YEAR_HOLD,,367.00,0.11
2023-06-14,APOLLOTYRE,SELL,612,408.20,249818.40,ONE_YEAR_HOLD,,365.00,1.18
2023-06-19,ADANIPORTS,SELL,154,735.65,113290.10,ONE_YEAR_HOLD,,367.00,0.10
2023-06-19,ADANIPORTS,BUY,217,735.65,159636.05,NEW_POSITION,0.51,,
2023-09-13,ALOKINDS,BUY,7471,19.25,143816.75,NEW_POSITION,0.30,,
2023-09-26,ANGELONE,BUY,69,1859.90,128333.10,NEW_POSITION,0.34,,
2023-09-29,ADANIENSOL,BUY,146,810.25,118296.50,NEW_POSITION,0.49,,
2023-09-29,ADANIENSOL,SELL,27,810.25,21876.75,ONE_YEAR_HOLD,,365.00,-0.76
2023-11-15,ACE,SELL,251,869.80,218319.80,ONE_YEAR_HOLD,,365.00,1.61
2023-11-16,ALLCARGO,SELL,632,69.95,44208.40,ONE_YEAR_HOLD,,365.00,-0.41
2023-11-24,ALKEM,SELL,21,4557.80,95713.80,ONE_YEAR_HOLD,,365.00,0.47
2023-12-12,ADVENZYMES,SELL,196,363.60,71265.60,ONE_YEAR_HOLD,,365.00,0.17
2023-12-22,ABFRL,SELL,241,219.80,52971.80,ONE_YEAR_HOLD,,365.00,-0.25
2023-12-22,ABFRL,BUY,706,219.80,155178.80,NEW_POSITION,0.43,,
2023-12-26,APLLTD,SELL,120,777.25,93270.00,ONE_YEAR_HOLD,,365.00,0.33
2023-12-26,ABSLAMC,BUY,315,471.75,148601.25,NEW_POSITION,0.53,,
2024-01-08,ANANDRATHI,BUY,97,1379.80,133840.60,NEW_POSITION,0.64,,
2024-01-10,APLAPOLLO,SELL,71,1565.95,111182.45,ONE_YEAR_HOLD,,365.00,0.42
2024-01-10,APLAPOLLO,BUY,84,1565.95,131539.80,NEW_POSITION,0.58,,
2024-03-21,AARTIPHARM,BUY,254,466.55,118503.70,NEW_POSITION,0.55,,
2024-03-26,AUBANK,SELL,150,563.00,84450.00,ONE_YEAR_HOLD,,368.00,0.01
2024-03-26,AUBANK,BUY,204,563.00,114852.00,NEW_POSITION,0.44,,
2024-03-27,AMBER,SELL,42,3638.45,152814.90,ONE_YEAR_HOLD,,365.00,1.03
2024-03-27,AMBER,BUY,32,3638.45,116430.40,NEW_POSITION,0.57,,
2024-04-04,ABBOTINDIA,SELL,3,26606.40,79819.20,ONE_YEAR_HOLD,,365.00,0.16
2024-04-09,AARTIDRUGS,BUY,242,513.05,124158.10,NEW_POSITION,0.41,,
2024-04-09,AARTIDRUGS,SELL,177,513.05,90809.85,ONE_YEAR_HOLD,,365.00,0.26
2024-04-12,AARTIIND,SELL,308,750.95,231292.60,ONE_YEAR_HOLD,,365.00,0.37
2024-04-12,AJANTPHARM,SELL,121,2115.30,255951.30,ONE_YEAR_HOLD,,365.00,0.69
2024-04-12,AEGISLOG,SELL,354,480.25,170008.50,ONE_YEAR_HOLD,,365.00,0.24
2024-04-16,ALKYLAMINE,SELL,51,2051.10,104606.10,ONE_YEAR_HOLD,,365.00,-0.14
2024-04-17,AGI,SELL,288,785.30,226166.40,ONE_YEAR_HOLD,,365.00,1.04
2024-04-29,ADANIGREEN,SELL,105,1806.85,189719.25,ONE_YEAR_HOLD,,367.00,0.90
2024-05-27,ATGL,SELL,159,972.60,154643.40,ONE_YEAR_HOLD,,367.00,0.28
2024-06-18,ADANIPORTS,SELL,217,1445.00,313565.00,ONE_YEAR_HOLD,,365.00,0.96
2024-09-12,ALOKINDS,SELL,7471,26.05,194619.55,ONE_YEAR_HOLD,,365.00,0.35
2024-09-25,ANGELONE,SELL,69,2539.00,175191.00,ONE_YEAR_HOLD,,365.00,0.37
2024-09-30,ADANIENSOL,SELL,146,1009.65,147408.90,ONE_YEAR_HOLD,,367.00,0.25
2024-12-23,ABFRL,SELL,706,282.20,199233.20,ONE_YEAR_HOLD,,367.00,0.28
2024-12-25,ABSLAMC,SELL,315,626.05,197205.75,ONE_YEAR_HOLD,,365.00,0.33
2025-01-07,ANANDRATHI,SELL,97,1948.70,189023.90,ONE_YEAR_HOLD,,365.00,0.41
2025-01-09,APLAPOLLO,SELL,84,1550.80,130267.20,ONE_YEAR_HOLD,,365.00,-0.01
2025-03-21,AARTIPHARM,SELL,254,761.10,193319.40,ONE_YEAR_HOLD,,365.00,0.63
2025-03-26,AUBANK,SELL,204,573.75,117045.00,ONE_YEAR_HOLD,,365.00,0.02
2025-03-27,AMBER,SELL,32,7131.30,228201.60,ONE_YEAR_HOLD,,365.00,0.96
2025-04-09,AARTIDRUGS,SELL,242,322.40,78020.80,ONE_YEAR_HOLD,,365.00,-0.37
